model,threshold,precision,recall,alerts,tp,fp,fn
noprev,0.03,0.05907674038889713,0.868995633187773,6737,398,6339,60
noprev,0.031,0.06351575456053069,0.8362445414847162,6030,383,5647,75
noprev,0.032,0.06825426589161823,0.7947598253275109,5333,364,4969,94
noprev,0.033,0.07423672103722292,0.7751091703056768,4782,355,4427,103
noprev,0.034,0.07735583684950774,0.7205240174672489,4266,330,3936,128
noprev,0.034999999999999996,0.08170190550770035,0.6834061135371179,3831,313,3518,145
noprev,0.036,0.08646288209606987,0.648471615720524,3435,297,3138,161
noprev,0.037,0.09182676652556171,0.6157205240174672,3071,282,2789,176
noprev,0.038,0.09463379260333575,0.5698689956331878,2758,261,2497,197
noprev,0.039,0.09720534629404617,0.5240174672489083,2469,240,2229,218
noprev,0.04,0.10210479175996418,0.4978165938864629,2233,228,2005,230
noprev,0.040999999999999995,0.10050251256281408,0.4366812227074236,1990,200,1790,258
noprev,0.041999999999999996,0.10514665190924184,0.4148471615720524,1807,190,1617,268
noprev,0.043,0.10529556650246305,0.37336244541484714,1624,171,1453,287
noprev,0.044,0.10926694329183956,0.34497816593886466,1446,158,1288,300
noprev,0.045,0.11119691119691119,0.314410480349345,1295,144,1151,314
noprev,0.046,0.1115916955017301,0.2816593886462882,1156,129,1027,329
noprev,0.047,0.11685823754789272,0.2663755458515284,1044,122,922,336
noprev,0.048,0.12076271186440678,0.24890829694323144,944,114,830,344
noprev,0.049,0.12350119904076738,0.22489082969432314,834,103,731,355
noprev,0.05,0.12368421052631579,0.2052401746724891,760,94,666,364
noprev,0.051000000000000004,0.12654320987654322,0.17903930131004367,648,82,566,376
noprev,0.052,0.1291390728476821,0.1703056768558952,604,78,526,380
noprev,0.053,0.1303538175046555,0.15283842794759825,537,70,467,388
noprev,0.054,0.13729508196721313,0.1462882096069869,488,67,421,391
noprev,0.055,0.13958810068649885,0.1331877729257642,437,61,376,397
noprev,0.056,0.13451776649746192,0.11572052401746726,394,53,341,405
noprev,0.056999999999999995,0.12947658402203857,0.10262008733624454,363,47,316,411
noprev,0.057999999999999996,0.13707165109034267,0.09606986899563319,321,44,277,414
noprev,0.059,0.14285714285714285,0.09170305676855896,294,42,252,416
noprev,0.06,0.14285714285714285,0.08296943231441048,266,38,228,420
noprev,0.061,0.13709677419354838,0.07423580786026202,248,34,214,424
noprev,0.062,0.14418604651162792,0.06768558951965066,215,31,184,427
noprev,0.063,0.1485148514851485,0.06550218340611354,202,30,172,428
noprev,0.064,0.15053763440860216,0.0611353711790393,186,28,158,430
noprev,0.065,0.15568862275449102,0.056768558951965066,167,26,141,432
noprev,0.066,0.16666666666666666,0.05458515283842795,150,25,125,433
noprev,0.067,0.18604651162790697,0.05240174672489083,129,24,105,434
noprev,0.068,0.18584070796460178,0.04585152838427948,113,21,92,437
noprev,0.069,0.19791666666666666,0.04148471615720524,96,19,77,439
noprev,0.07,0.18072289156626506,0.03275109170305677,83,15,68,443
noprev,0.07100000000000001,0.16666666666666666,0.026200873362445413,72,12,60,446
noprev,0.07200000000000001,0.1896551724137931,0.024017467248908297,58,11,47,447
noprev,0.07300000000000001,0.19607843137254902,0.021834061135371178,51,10,41,448
noprev,0.074,0.13953488372093023,0.013100436681222707,43,6,37,452
noprev,0.075,0.17647058823529413,0.013100436681222707,34,6,28,452
noprev,0.076,0.1724137931034483,0.010917030567685589,29,5,24,453
noprev,0.077,0.17391304347826086,0.008733624454148471,23,4,19,454
noprev,0.078,0.10526315789473684,0.004366812227074236,19,2,17,456
noprev,0.079,0.13333333333333333,0.004366812227074236,15,2,13,456
noprev,0.08,0.15384615384615385,0.004366812227074236,13,2,11,456
